date,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB
2020-04-27,0,80,0,0,69,9,0,0,0,190,0,247,5,0,23,21,9,13,0,0,75.0,522,0,0,0,0,15,0,8,77,0,52,2,0,113,0,38
2020-04-28,0,82,0,2,20,11,1,0,0,206,0,226,7,0,19,2,11,4,2,0,222.0,728,0,0,0,0,0,0,12,102,0,121,6,0,67,3,48
2020-04-29,0,73,0,0,37,12,0,0,0,125,0,308,3,0,16,2,12,10,0,0,173.0,597,0,0,0,0,7,0,33,76,0,104,7,0,81,1,28
2020-04-30,0,71,0,5,22,6,2,0,0,76,0,313,28,0,33,3,30,2,0,0,65.0,583,0,0,0,0,18,0,105,144,0,161,22,0,77,2,33
2020-05-01,0,60,0,0,41,14,3,0,0,223,0,326,18,0,25,3,24,0,0,0,90.0,1008,0,0,0,0,11,0,105,82,0,203,6,0,117,0,37
2020-05-02,0,62,0,0,15,6,0,0,0,384,0,333,19,0,27,2,12,2,1,0,73.0,790,0,0,0,0,6,1,187,106,0,231,17,2,159,2,127
2020-05-03,0,58,0,0,36,3,14,0,0,427,0,374,66,0,35,0,13,0,19,0,49.0,678,0,0,0,0,2,0,330,114,0,266,21,12,158,1,276
2020-05-04,0,67,0,0,11,5,1,0,0,349,0,376,75,1,25,0,37,0,0,0,105.0,1567,0,0,0,0,7,0,130,175,0,527,3,13,121,0,61
2020-05-05,0,67,0,2,7,17,1,1,0,206,0,441,31,1,15,10,22,3,0,0,107.0,984,0,0,0,0,8,0,219,97,0,508,11,13,114,1,85
2020-05-06,0,60,0,1,7,5,0,0,0,428,0,380,46,1,34,2,20,0,0,0,89.0,1233,0,0,0,0,28,0,75,159,0,771,11,22,118,0,112
2020-05-07,0,56,0,8,8,11,0,0,0,448,0,388,31,3,18,5,12,0,0,0,114.0,1216,0,0,0,0,14,0,118,110,0,580,15,24,73,0,92
2020-05-08,0,54,0,6,29,11,0,0,0,338,0,390,22,4,30,22,48,1,0,0,89.0,1089,0,0,0,0,51,1,87,152,0,600,10,30,143,2,130
2020-05-09,0,43,0,2,32,23,0,0,0,224,0,394,28,2,13,2,41,2,0,0,116.0,1165,0,1,0,0,82,0,31,129,0,526,31,17,159,4,108
2020-05-10,0,50,0,1,96,4,0,0,0,381,0,398,28,6,25,1,54,7,0,0,157.0,1943,0,0,0,0,25,2,61,106,0,669,33,16,94,1,153
2020-05-11,0,38,0,2,42,8,0,0,0,310,0,347,27,1,18,4,14,7,0,0,171.0,1230,0,0,0,0,38,0,54,174,0,798,79,0,106,0,124
2020-05-12,0,71,0,0,130,6,0,0,0,406,0,362,50,7,55,11,63,5,0,0,201.0,1026,0,0,0,0,22,0,37,138,0,716,51,2,91,1,110
2020-05-13,0,48,0,15,74,4,0,0,0,359,0,364,13,1,37,5,34,10,1,0,187.0,1495,0,0,0,0,101,1,10,152,0,509,41,0,94,3,117
