district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Damoh, MP",1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
"Dang, GJ",2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Darbhanga, BR",16.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51,0.76,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Darjeeling, WB",9.0,,,,,,,,,,,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Darrang, AS",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Datia, MP",3.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
"Dausa, RJ",39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,1.83,0.61,1.22,1.22,1.22,1.22,3.05,0.61
"Davanagere, KA",110.0,,,,,,0.51,3.08,0.0,0.0,0.0,6.16,0.51,0.51,7.19,3.08,0.51,1.54,6.16,1.03,1.54,0.51,0.51,0.51,0.51,10.27
"Debagarh, OR",2.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
"Dehradun, UT",47.0,0.59,0.59,0.59,1.77,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.59,0.59,0.59,1.18,0.0
"Delhi, DL",10554.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Deoghar, JH",5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Deoria, UP",25.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.94,0.97,0.97,0.97
"Devbhumi Dwarka, GJ",12.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0
"Dewas, MP",63.0,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.0,0.0,0.0,0.0,0.0,0.64,0.64,2.56,4.48,3.2,3.2,1.92,1.28,0.0,0.0,0.0,0.64,0.0
"Dhalai, TR",160.0,,,,,,,,,,34.39,34.39,58.2,34.39,34.39,124.34,42.33,34.39,34.39,34.39,34.39,2.65,21.16,10.58,10.58,10.58
"Dhamtari, CT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Dhanbad, JH",6.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dhar, MP",107.0,,,,,3.66,3.66,3.66,0.92,1.83,3.66,3.66,0.46,0.46,0.46,0.46,1.83,1.83,1.83,1.37,3.66,3.66,1.83,1.83,1.83,0.46
"Dharmapuri, TN",5.0,,,,,,,,,,,,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dharwad, KA",26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0
"Dhaulpur, RJ",28.0,,1.66,1.66,1.66,1.66,0.83,0.0,,,,1.66,1.66,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
"Dhemaji, AS",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Dhenkanal, OR",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dhubri, AS",5.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dhule, MH",83.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.44,2.44,0.49,0.49,0.49,0.49,1.95,2.44,2.44,3.9,2.44,2.44,1.46,1.46,1.46,0.0
"Dibrugarh, AS",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Dima Hasao, AS",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Dimapur, NL",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Dindigul, TN",126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.46,3.24,4.16,0.46,0.46,0.46,1.39,1.39,0.93,1.39,1.39,0.93,3.24,1.39,1.39,1.39
"Dindori, MP",4.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Diu, DN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Doda, JK",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Dohad, GJ",28.0,,,,,,,0.47,0.47,0.47,2.82,0.47,0.47,1.88,0.47,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.88,0.0
"Dumka, JH",2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dungarpur, RJ",211.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.72,0.0,0.0,0.0,0.0,0.72,0.72,0.72,0.72,0.72,19.44,12.96,46.08,62.64
"Durg, CT",10.0,,,,,,,,,,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"East Champaran, BR",19.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.39,0.39,0.39,0.39,0.39,0.39,0.59,0.0,0.0
"East District, SK",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"East Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"East Godavari, AP",57.0,0.58,0.39,0.19,0.19,0.19,0.39,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.39,0.39,0.19,0.19,0.19,0.0
"East Jaintia Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"East Kameng, AR",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"East Khasi Hills, ML",13.0,,,,,,1.21,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"East Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"East Singhbhum, JH",6.0,,,,,,,,,,,,,,,,,,,,,0.44,0.44,0.44,0.44,0.44
"Ernakulam, KL",29.0,,,,,,,,,,,,,,,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
"Erode, TN",70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Etah, UP",11.0,,,,,,,2.84,1.14,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Etawah, UP",4.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0
"Faizabad, UP",7.0,,,,,,,,,,,,,,,,,0.41,0.41,0.41,0.41,0.41,0.81,0.0,0.0,0.0
"Faridabad, HR",163.0,,,0.56,0.0,0.0,0.0,4.45,0.56,0.56,1.11,0.56,1.11,3.34,2.22,0.56,0.56,3.89,7.23,2.22,6.67,5.0,2.22,1.67,1.67,7.23
"Faridkot, PB",61.0,,,,,,4.85,4.85,4.85,4.85,4.85,43.69,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.62,1.62,1.62,4.85,6.47,3.24,0.0
"Farrukhabad, UP",20.0,,,,,,,,,,,,,,,,,,3.18,1.06,1.06,1.06,1.06,3.18,3.18,3.18
"Fatehabad, HR",8.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fatehgarh Sahib, PB",56.0,,,,,,,,10.0,11.67,5.0,5.0,5.0,1.67,6.67,8.34,13.34,18.34,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fatehpur, UP",23.0,,,,,,,,,,,,,,,,,0.38,0.38,0.38,0.0,0.0,0.0,0.76,0.0,0.0
"Fazilka, PB",44.0,,,,,,,,,,,,0.85,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Firozabad, UP",203.0,3.2,0.4,0.4,0.0,0.0,0.0,5.21,5.21,4.01,4.41,2.8,4.81,0.4,2.4,2.8,1.2,0.4,0.4,0.0,0.0,0.0,1.2,0.4,1.2,0.0
"Firozpur, PB",44.0,,,,,,,7.4,4.44,,,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gadag, KA",18.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.76,0.94,0.94,0.94,0.94,0.94
"Gadchiroli, MH",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Gajapati, OR",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Ganderbal, JK",25.0,,,,,,,,,,,,,3.37,10.1,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37
"Gandhinagar, GJ",190.0,2.88,1.44,3.6,4.32,1.44,7.21,0.72,12.97,2.16,5.05,1.44,2.88,3.6,6.49,15.86,7.21,7.21,2.16,0.72,0.72,7.93,4.32,3.6,8.65,7.21
"Ganganagar, RJ",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Ganjam, OR",307.0,,,,,,,,,,,,0.28,6.82,12.22,5.11,10.23,8.24,1.14,14.77,11.93,3.41,3.69,4.26,4.26,0.0
"Garhwa, JH",29.0,,,,,,,,,,,,,,,,,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.0
"Gariaband, CT",1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Gautam Buddha Nagar, UP",300.0,0.6,2.39,9.55,0.6,5.37,5.37,7.76,2.99,5.37,7.17,7.76,2.39,2.39,2.39,8.96,5.37,5.37,2.99,8.36,5.37,5.37,3.58,5.97,2.39,2.39
"Gaya, BR",11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ghaziabad, UP",194.0,0.86,1.07,0.86,0.86,0.86,0.86,0.64,0.64,3.0,2.57,2.15,1.29,1.29,2.15,1.29,1.93,0.86,0.43,0.64,4.08,0.64,1.5,1.93,0.86,0.86
"Ghazipur, UP",43.0,,,,,,,,,,,,,,,,0.28,0.28,0.28,0.28,1.1,3.59,0.28,0.28,0.28,0.28
"Gir Somnath, GJ",28.0,,,,,,,,,,,,,,,6.57,6.57,6.57,6.57,0.82,3.29,0.82,6.57,6.57,6.57,6.57
"Giridih, JH",10.0,,,,,,,,,,,,,,,,,,0.82,0.41,1.23,0.0,0.0,0.0,0.0,0.0
"Goalpara, AS",6.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Godda, JH",1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Golaghat, AS",15.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89
"Gomati, TR",2.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gonda, UP",36.0,,,,,0.0,0.0,0.0,0.0,0.58,0.58,0.58,0.58,0.58,0.29,0.58,0.58,1.75,0.87,0.29,0.29,0.29,0.58,0.58,0.58,0.58
"Gondiya, MH",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gopalganj, BR",63.0,,,2.35,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,1.17,1.17,1.17,2.35,2.35,0.0
"Gorakhpur, UP",21.0,,,,,,,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.23,0.45,0.23,0.23,0.23
"Gumla, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Guna, MP",1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Guntur, AP",417.0,0.61,1.02,4.7,3.48,5.93,0.82,3.89,0.41,2.25,3.89,2.66,2.45,2.05,0.2,0.41,1.23,1.02,3.68,3.68,1.02,3.68,3.68,0.82,0.0,0.0
"Gurdaspur, PB",124.0,,,,,,,0.43,0.43,10.87,2.61,20.88,0.43,2.61,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
"Gurugram, HR",220.0,2.64,0.66,0.66,0.66,0.66,0.66,1.98,3.96,5.94,0.66,7.27,13.21,8.59,5.94,10.57,2.64,2.64,10.57,3.3,2.64,5.94,9.25,7.27,4.62,5.94
"Gwalior, MP",72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,2.46,2.46,2.46,1.97,1.48,0.98,2.46,2.46,5.91,4.92,3.45,3.45
"Hailakandi, AS",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hamirpur, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamirpur, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamirpur(HP), HP",15.0,,,,,,,,,,,,,,,2.2,0.0,0.0,0.0,2.2,2.2,2.2,2.2,4.4,11.01,0.0
"Hamirpur(UP), UP",2.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
"Hanumangarh, RJ",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.56,0.0,0.0,0.0,0.0
"Hapur, UP",87.0,1.49,1.49,0.75,0.0,0.0,0.0,0.0,1.49,6.73,0.75,0.75,0.75,5.23,1.49,1.49,0.75,0.75,0.75,1.49,0.75,7.47,1.49,1.49,0.75,1.49
"Harda, MP",3.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hardoi, UP",19.0,,,,,,,,,,,,,,,,,,,0.49,0.49,0.49,0.49,0.98,0.24,0.49
"Haridwar, UT",7.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hassan, KA",33.0,,,,,,,,,,,,,,,,,,,,3.94,3.94,2.25,3.38,2.25,1.69
"Hathras, UP",20.0,,,,,,,,0.64,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Haveri, KA",3.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hazaribagh, JH",32.0,,,,,,,,,,,,,,,,,3.46,3.46,3.46,3.46,5.19,1.73,0.58,0.58,3.46
"Hingoli, MH",104.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.85,0.85,2.54,0.0,0.0,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.85,0.85,6.79,0.0
"Hisar, HR",9.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
"Hnahthial, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hojai, AS",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hooghly, WB",153.0,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,1.09,0.36,0.36,3.08,8.88,0.91,0.36,1.27,0.18,0.18,1.81,0.18,0.54,0.54
"Hoshangabad, MP",37.0,3.22,1.61,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hoshiarpur, PB",95.0,,,,,1.9,0.63,0.63,0.63,29.06,0.63,0.63,0.63,0.63,0.63,0.63,1.9,1.9,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0
"Howrah, WB",625.0,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,4.96,4.96,7.23,7.85,1.65,9.71,4.75,7.64,1.45,5.16,5.58,3.51,3.72,5.78,5.37
"Hyderabad, TG",1041.0,3.78,3.2,3.78,3.78,1.74,1.74,1.74,4.36,5.81,0.87,3.78,3.78,3.49,2.91,8.72,7.55,22.95,10.75,9.01,11.62,9.59,12.78,10.75,7.55,9.88
"Idukki, KL",24.0,2.71,2.71,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Imphal East, MN",3.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Imphal West, MN",3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Indore, MP",2637.0,17.11,27.81,9.47,50.42,31.78,3.06,8.86,9.17,7.03,13.14,13.14,8.25,5.5,8.56,16.2,23.84,23.53,24.75,27.81,40.03,18.64,24.14,28.11,29.03,22.0
"Jabalpur, MP",184.0,4.88,6.5,4.06,0.41,3.25,2.84,0.81,2.03,1.63,0.81,3.25,1.22,2.44,0.41,1.22,1.63,4.06,1.63,4.06,4.06,4.47,2.84,0.41,0.41,0.81
"Jagatsinghapur, OR",28.0,,,,,,,,,,,,,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76
"Jagitial, TG",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jaipur, RJ",1640.0,2.4,2.4,3.75,3.9,3.3,3.9,3.15,4.95,4.8,4.35,3.75,6.45,3.15,5.1,7.65,3.45,4.2,5.1,9.15,3.0,3.45,19.66,9.0,7.05,2.55
"Jaisalmer, RJ",59.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,1.49,4.46,4.46,1.49,1.49,1.49,0.0
"Jajapur, OR",168.0,2.19,2.19,2.19,1.1,1.1,1.1,2.19,,,,0.55,1.1,0.0,0.0,0.0,0.0,0.55,1.64,3.83,9.31,1.1,16.97,0.55,0.55,16.97
"Jalandhar, PB",209.0,1.38,5.5,2.75,2.75,0.46,1.38,7.33,6.88,1.83,1.83,2.75,0.46,5.5,5.04,7.79,2.75,2.75,4.13,0.46,3.21,2.75,2.75,2.75,2.75,0.0
"Jalaun, UP",41.0,,,,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.6,11.97,0.6,0.6,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jalgaon, MH",292.0,1.18,1.42,0.71,0.71,0.24,0.24,0.24,0.24,0.24,0.24,0.24,1.66,3.08,4.26,8.76,10.65,0.47,2.84,3.31,4.02,5.44,0.95,3.79,6.15,0.0
"Jalna, MH",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.51,0.51,0.51,0.51,0.51,4.08,0.0
"Jalor, RJ",97.0,,,,,,,,,,,,,,1.64,1.64,0.55,3.28,1.64,1.64,12.02,2.73,1.64,1.64,13.66,0.0
"Jalpaiguri, WB",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jammu, JK",47.0,,,,,,,,,,,1.31,1.31,1.31,0.66,0.66,0.66,1.97,1.31,1.31,1.31,1.31,1.31,1.31,1.31,0.0
"Jamnagar, GJ",42.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,1.85,3.24,3.24,1.39,1.39,0.46,1.39,0.46,0.46,0.46,0.46,0.46,0.46
"Jamtara, JH",2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jamui, BR",15.0,,,,,,,,,,,,,,,,,,,,,,5.13,5.13,5.13,0.57
"Jangoan, TG",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Janjgir Champa, CT",11.0,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,0.0
"Jashpur, CT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Jaunpur, UP",30.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.22,0.22,0.22,0.22,0.89,2.01,0.22,0.22,0.0
"Jayashankar, TG",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jehanabad, BR",58.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,2.67,2.67,2.67,2.67,2.67,4.45,2.67,2.67,0.89,0.89,0.89
"Jhabua, MP",11.0,,,,,,,,,,,,,,,,,,1.95,1.95,1.95,0.0,0.0,0.0,0.0,0.0
"Jhajjar, HR",90.0,,,,,1.05,18.81,4.18,12.54,2.09,14.63,8.36,6.27,3.14,1.05,0.0,0.0,0.0,1.05,1.05,3.14,1.05,1.05,0.0,0.0,0.0
"Jhalawar, RJ",50.0,3.54,0.71,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,2.13,3.54,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,3.54,3.54,3.54
"Jhansi, UP",30.0,,,,,,,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,0.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
"Jhargram, WB",3.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jharsuguda, OR",2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jhunjhunu, RJ",60.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,2.34,0.47,0.47,0.93,0.93,0.93
"Jind, HR",21.0,,,,,,,,,,1.5,1.5,1.5,2.25,2.25,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0
"Jiribam, MN",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Jodhpur, RJ",1110.0,2.71,10.31,2.98,6.78,3.53,26.32,9.5,16.28,7.33,24.15,11.12,13.57,8.14,2.44,2.98,2.98,3.53,6.78,2.17,9.77,8.41,1.9,11.67,9.5,10.58
"Jogulamba Gadwal, TG",45.0,4.51,4.51,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jorhat, AS",7.0,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.83
"Junagadh, GJ",12.0,,,,,,,,,,,,,,,,,,0.36,0.36,0.0,0.0,0.0,0.36,1.09,1.09
"Kabeerdham, CT",8.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Kachchh, GJ",52.0,,,,,,,,,,,,,,,,,2.87,2.87,0.48,0.48,0.48,0.48,0.48,1.44,10.05
"Kaimur Bhabhua, BR",44.0,,,,,,,,,,1.23,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.61,1.23,1.23,1.23
"Kaithal, HR",5.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kakching, MN",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Kalaburagi, KA",128.0,0.39,0.39,0.39,0.39,3.12,0.39,0.78,0.39,0.39,0.78,0.39,0.39,1.17,0.0,0.0,0.0,0.39,0.39,3.12,0.78,1.17,3.12,3.9,4.29,5.07
"Kalahandi, OR",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kalimpong, WB",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
